答案1: 21
答案2: 1
答案3: 3/10
答案4: 9/10
答案5: 4
答案6: 1
答案7: 3
答案8: 4
答案9: 5
答案10: 7/10
答案11: 3
答案12: 5/8
答案13: 35/72
答案14: 26/63
答案15: 6
答案16: 10/21
答案17: 1
答案18: 4
答案19: 24
答案20: 15
答案21: 16
答案22: 13
答案23: 2
答案24: 10
答案25: 15
答案26: 15
答案27: 9
答案28: 11
答案29: 5
答案30: 3/22
答案31: 2
答案32: 11
答案33: 6/7
答案34: 7/10
答案35: 1/32
答案36: 6
答案37: 12
答案38: 3/64
答案39: 8
答案40: 37/126
答案41: 5
答案42: 16
答案43: 12
答案44: 5/576
答案45: 9
答案46: 11/12
答案47: 12
答案48: 10
答案49: 7
答案50: 8
答案51: 5
答案52: 10
答案53: 5
答案54: 11
答案55: 8
答案56: 1
答案57: 16
答案58: 10
答案59: 5/42
答案60: 1/10
答案61: 3
答案62: 3/8
答案63: 8
答案64: 2/5
答案65: 7/9
答案66: 3/20
答案67: 5/14
答案68: 2
答案69: 1/28
答案70: 3
答案71: 17
答案72: 3/170
答案73: 1
答案74: 7
答案75: 16
答案76: 15
答案77: 5/36
答案78: 9
答案79: 14
答案80: 14
答案81: 15
答案82: 15
答案83: 3/4
答案84: 13
答案85: 5/16
答案86: 5/12
答案87: 3
答案88: 5/8
答案89: 5/28
答案90: 5/24
答案91: 1/4
答案92: 1/27
答案93: 1/21
答案94: 2/3
答案95: 7
答案96: 7/10
答案97: 9
答案98: 1
答案99: 11
答案100: 54
答案101: 8/189
答案102: 1/24
答案103: 56
答案104: 5
答案105: 48
答案106: 30
答案107: 36
答案108: 18
答案109: 24
答案110: 6
答案111: 12
答案112: 5/252
答案113: 5
答案114: 13
答案115: 1/3
答案116: 5
答案117: 8
答案118: 13
答案119: 14
答案120: 9/14
答案121: 5/9
答案122: 11
答案123: 1/12
答案124: 5/8
答案125: 20
答案126: 5/6
答案127: 9
答案128: 2/5
答案129: 4/7
答案130: 7
答案131: 1/2
答案132: 4/9
答案133: 3
答案134: 3/8
答案135: 11
答案136: 1/54
答案137: 1/16
答案138: 13
答案139: 8/9
答案140: 2/3
答案141: 12
答案142: 1/24
答案143: 1
答案144: 4
答案145: 5
答案146: 7
答案147: 14
答案148: 15
答案149: 15
答案150: 10
答案151: 11
答案152: 12
答案153: 13
答案154: 5/9
答案155: 45
答案156: 18
答案157: 3/4
答案158: 3/64
答案159: 46
答案160: 35/36
答案161: 5
答案162: 20
答案163: 7
答案164: 18
答案165: 19
答案166: 9
答案167: 8
答案168: 4
答案169: 10
答案170: 4/153
答案171: 3/14
答案172: 16
答案173: 17
答案174: 15
答案175: 1/2
答案176: 13
答案177: 16
答案178: 17
答案179: 15
答案180: 14
答案181: 18
答案182: 17
答案183: 6
答案184: 15
答案185: 8
答案186: 1/108
答案187: 4/27
答案188: 14
答案189: 11
答案190: 12
答案191: 1/14
答案192: 6/43
答案193: 9
答案194: 20
答案195: 8
答案196: 3
答案197: 1/96
答案198: 2
答案199: 4
答案200: 1
答案201: 1
答案202: 4/315
答案203: 2/45
答案204: 20/21
答案205: 10
答案206: 6
答案207: 12
答案208: 30
答案209: 7/9
答案210: 15
答案211: 40
答案212: 14
答案213: 10
答案214: 5
答案215: 13
答案216: 20
答案217: 1
答案218: 11
答案219: 2
答案220: 6/7
答案221: 2/25
答案222: 43/63
答案223: 27
答案224: 3/140
答案225: 6
答案226: 6/7
答案227: 13
答案228: 36/275
答案229: 1/27
答案230: 1/14
答案231: 9
答案232: 4/105
答案233: 8/9
答案234: 4/7
答案235: 1/15
答案236: 7
答案237: 6
答案238: 4
答案239: 13
答案240: 2
答案241: 3
答案242: 1/6
答案243: 3/50
答案244: 9
答案245: 11
答案246: 2/9
答案247: 1/18
答案248: 4/315
答案249: 1/16
答案250: 1/14
答案251: 2/63
答案252: 1/12
答案253: 1/10
答案254: 1/8
答案255: 1/63
答案256: 1/6
答案257: 4
